球员,俱乐部,年龄,位置,出场,上场时间,进球,助攻,黄牌,红牌,传球成功率,创造机会,争顶成功,评分
格里马尔多,勒沃库森,29,左后卫,"27
(1)",2351,2,6,3,1,86.4,9,0.4,7.34
米特尔施泰特,斯图加特,28,左后卫,"24
(3)",2138,1,6,5,0,86.9,8,0.8,7.33
格瓦迪奥尔,曼城,23,左后卫,"32
(1)",2919,5,0,2,0,92.1,1,1.4,7.32
刘易斯·霍尔,纽卡斯尔,20,左后卫,"24
(3)",2192,0,4,3,0,85.5,4,1.0,7.25
迪马尔科,国际米兰,27,左后卫,"26
(2)",1851,4,7,3,0,84.2,12,0.2,7.25
大卫·劳姆,莱比锡红牛,27,左后卫,"19
(1)",1608,1,4,3,0,79.0,6,0.6,7.25
纳撒尼尔·布朗,法兰克福,21,左后卫,"18
(4)",1597,3,5,1,0,86.4,9,0.3,7.24
拉斐尔·格雷罗,拜仁慕尼黑,31,左后卫,"17
(4)",1432,4,3,2,0,90.4,7,0.3,7.23
阿方索·戴维斯,拜仁慕尼黑,24,左后卫,"17
(2)",1562,1,2,0,0,91.1,1,0.4,7.21
特奥·埃尔南德斯,AC米兰,27,左后卫,"27
(3)",2428,4,3,4,1,88.2,7,1.1,7.2
